agent_id,duration_sec,csat_score,issue_category,customer_persona,clean_text,talk_ratio,turns_count,resolved,escalated,churned,hour_of_day,is_weekend,avg_word_per_turn,sanitized_text,x_coord,y_coord,cluster_id
AGENT_661,185,2,internet,loyal,My connection has been spotty lately. Any idea what's happening? Thank you for calling. This is David. How can I assist you today? I need to escalate this to our technical team for review. This is taking too long to resolve. I'm done with this. Goodbye.,1.09,5,False,False,False,0,1,37.0,my connection has been spotty lately. any idea what's happening? thank you for calling. this is [person]. how can i assist you today? i need to escalate this to our technical team for review. this is taking too long to resolve. i'm done with this. goodbye.,-2.4950902,1.4493107,3
AGENT_540,480,2,device,loyal,I'm having trouble setting up my new device. Can you help? Thank you for calling. This is Taylor. How can I assist you today? I can help you with device setup. What model do you have? Thank you for your help. I appreciate it. I'm still looking into this for you. This is taking longer than expected. Let me walk you through some troubleshooting steps. I hope this gets resolved soon. Let me walk you through some troubleshooting steps. This is taking longer than expected. I can help you with device setup. What model do you have? I'm getting concerned about this.,1.43,12,False,False,False,7,0,40.0,i'm having trouble setting up my new device. can you help? thank you for calling. this is [person]. how can i assist you today? i can help you with device setup. what model do you have? thank you for your help. i appreciate it. i'm still looking into this for you. this is taking longer than expected. let me walk you through some troubleshooting steps. i hope this gets resolved soon. let me walk you through some troubleshooting steps. this is taking longer than expected. i can help you with device setup. what model do you have? i'm getting concerned about this.,1.8189566,0.9976486,4
AGENT_927,462,2,upgrade,business,I need to upgrade for business expansion. What's available? Thank you for calling. This is Mike. How can I assist you today? Let me check what upgrade options are available for you. I hope this gets resolved soon. Let me check what upgrade options are available for you. I'm getting concerned about this. I can help you upgrade your service. What features are you looking for? I hope this gets resolved soon. I'm still looking into this for you. I'm getting concerned about this. I can process an upgrade if that's what you're interested in. I'm getting concerned about this. I can process an upgrade if that's what you're interested in. I hope this gets resolved soon.,1.79,14,False,False,True,3,0,33.0,i need to upgrade for business expansion. what's available? thank you for calling. this is [person]. how can i assist you today? let me check what upgrade options are available for you. i hope this gets resolved soon. let me check what upgrade options are available for you. i'm getting concerned about this. i can help you upgrade your service. what features are you looking for? i hope this gets resolved soon. i'm still looking into this for you. i'm getting concerned about this. i can process an upgrade if that's what you're interested in. i'm getting concerned about this. i can process an upgrade if that's what you're interested in. i hope this gets resolved soon.,13.705679,10.118155,0
AGENT_604,624,1,billing,churn_risk,This is exactly why I'm cancelling - your billing is a mess! Thank you for calling. This is Alex. How can I assist you today? Can you repeat your account number? I appreciate you looking into this. I have to look this up in our system. I'm getting concerned about this. I'll need to check on that for you. This is taking longer than expected. Let me pull up your account... I'm not happy with how this is progressing.,1.14,10,False,True,True,9,0,62.4,this is exactly why i'm cancelling - your billing is a mess! thank you for calling. this is [person]. how can i assist you today? can you repeat your account number? i appreciate you looking into this. i have to look this up in our system. i'm getting concerned about this. i'll need to check on that for you. this is taking longer than expected. let me pull up your account... i'm not happy with how this is progressing.,2.5849445,17.047825,2
AGENT_726,731,2,device,elderly,I can't figure out how to use this new phone. It's too complicated. Thank you for calling. This is Sarah. How can I assist you today? I need more time to resolve your concern. I'm getting concerned about this. I'm still looking into this for you. I hope this gets resolved soon. Let me continue checking on this issue. This is taking too long to resolve. Let me continue checking on this issue. This is taking too long to resolve. I need more time to resolve your concern. I'm not happy with how this is progressing. I need more time to resolve your concern. I'm getting frustrated with this process. Let me continue checking on this issue. This is taking too long to resolve. I'm done with this. Goodbye.,1.02,17,False,False,True,15,1,43.0,i can't figure out how to use this new phone. it's too complicated. thank you for calling. this is [person]. how can i assist you today? i need more time to resolve your concern. i'm getting concerned about this. i'm still looking into this for you. i hope this gets resolved soon. let me continue checking on this issue. this is taking too long to resolve. let me continue checking on this issue. this is taking too long to resolve. i need more time to resolve your concern. i'm not happy with how this is progressing. i need more time to resolve your concern. i'm getting frustrated with this process. let me continue checking on this issue. this is taking too long to resolve. i'm done with this. goodbye.,1.0697511,2.037949,4
AGENT_203,336,1,device,angry,Your device doesn't work and your instructions are garbage! Thank you for calling. This is Sarah. How can I assist you today? I need more time to resolve your concern. I appreciate you looking into this. I need more time to resolve your concern. Why is this so difficult? Let me continue checking on this issue. This is not acceptable! I'm still looking into this for you. You people are incompetent! This is ridiculous! Let me continue checking on this issue. This is taking forever! Fix it NOW!,1.32,12,False,True,True,16,0,28.0,your device doesn't work and your instructions are garbage! thank you for calling. this is [person]. how can i assist you today? i need more time to resolve your concern. i appreciate you looking into this. i need more time to resolve your concern. why is this so difficult? let me continue checking on this issue. this is not acceptable! i'm still looking into this for you. you people are incompetent! this is ridiculous! let me continue checking on this issue. this is taking forever! fix it now!,2.99558,-4.6133366,-1
AGENT_810,492,2,internet,tech_savvy,I'm seeing significant packet loss and high latency. Check your infrastructure. Thank you for calling. This is Sarah. How can I assist you today? I'm still looking into this for you. Can you provide more technical details about the fix? I'm still looking into this for you. Can you provide more technical details about the fix? I need more time to resolve your concern. What's the root cause of this issue? I'm still looking into this for you. I'm getting concerned about this. I need more time to resolve your concern. I'm getting concerned about this.,1.09,12,False,False,True,12,1,41.0,i'm seeing significant packet loss and high latency. check your infrastructure. thank you for calling. this is [person]. how can i assist you today? i'm still looking into this for you. can you provide more technical details about the fix? i'm still looking into this for you. can you provide more technical details about the fix? i need more time to resolve your concern. what's the root cause of this issue? i'm still looking into this for you. i'm getting concerned about this. i need more time to resolve your concern. i'm getting concerned about this.,-2.508894,0.23481302,3
AGENT_328,252,2,internet,elderly,The internet isn't working properly. I can't get my emails. Thank you for calling. This is Sarah. How can I assist you today? I have to look this up in our system. I'm not happy with how this is progressing. I have to look this up in our system. This is taking too long to resolve. I'm done with this. Goodbye.,1.03,7,False,False,True,0,1,36.0,the internet isn't working properly. i can't get my emails. thank you for calling. this is [person]. how can i assist you today? i have to look this up in our system. i'm not happy with how this is progressing. i have to look this up in our system. this is taking too long to resolve. i'm done with this. goodbye.,-3.1095002,2.3253157,3
AGENT_823,1200,1,internet,loyal,My connection has been spotty lately. Any idea what's happening? Thank you for calling. This is David. How can I assist you today? I'm still looking into this for you. I'm getting frustrated with this process. Let me continue checking on this issue. I'm not happy with how this is progressing. Let me continue checking on this issue. I'm not happy with how this is progressing. I need more time to resolve your concern. I'm getting frustrated with this process. Let me continue checking on this issue. This is taking too long to resolve. Let me continue checking on this issue. I'm getting frustrated with this process. Let me continue checking on this issue. This is taking too long to resolve. Let me continue checking on this issue. I'm getting frustrated with this process. Let me continue checking on this issue. This is taking too long to resolve. Let me continue checking on this issue. This is taking too long to resolve. I need more time to resolve your concern. I'm getting frustrated with this process. I'm still looking into this for you. This is taking too long to resolve. I'm done with this. Goodbye.,1.03,27,False,False,False,18,0,44.44,my connection has been spotty lately. any idea what's happening? thank you for calling. this is [person]. how can i assist you today? i'm still looking into this for you. i'm getting frustrated with this process. let me continue checking on this issue. i'm not happy with how this is progressing. let me continue checking on this issue. i'm not happy with how this is progressing. i need more time to resolve your concern. i'm getting frustrated with this process. let me continue checking on this issue. this is taking too long to resolve. let me continue checking on this issue. i'm getting frustrated with this process. let me continue checking on this issue. this is taking too long to resolve. let me continue checking on this issue. i'm getting frustrated with this process. let me continue checking on this issue. this is taking too long to resolve. let me continue checking on this issue. this is taking too long to resolve. i need more time to resolve your concern. i'm getting frustrated with this process. i'm still looking into this for you. this is taking too long to resolve. i'm done with this. goodbye.,-2.522098,1.4320946,3
AGENT_882,422,2,device,elderly,I can't figure out how to use this new phone. It's too complicated. Thank you for calling. This is Sarah. How can I assist you today? Let me see what I can find here. This is taking longer than expected. Can you repeat your account number? This is taking longer than expected. I have to look this up in our system. I'm getting frustrated with this process.,1.16,8,False,False,True,8,0,52.75,i can't figure out how to use this new phone. it's too complicated. thank you for calling. this is [person]. how can i assist you today? let me see what i can find here. this is taking longer than expected. can you repeat your account number? this is taking longer than expected. i have to look this up in our system. i'm getting frustrated with this process.,1.2487094,1.8472298,4
AGENT_540,240,2,upgrade,churn_risk,"I'll consider upgrading if you can fix these issues. Thank you for calling. This is David. How can I assist you today? Let me upgrade your service with the latest options. Okay, thank you for checking on that. I can process that upgrade for you right away. Okay, thank you for checking on that. I'll move you to our premium plan with enhanced features. Okay, thank you for checking on that.",1.37,8,False,False,True,17,0,30.0,"i'll consider upgrading if you can fix these issues. thank you for calling. this is [person]. how can i assist you today? let me upgrade your service with the latest options. okay, thank you for checking on that. i can process that upgrade for you right away. okay, thank you for checking on that. i'll move you to our premium plan with enhanced features. okay, thank you for checking on that.",14.999706,7.6169233,0
AGENT_894,186,2,upgrade,tech_savvy,I want to upgrade to the highest speed plan. Thank you for calling. This is Sarah. How can I assist you today? I'll need to check on that for you. This is taking too long to resolve. I'm done with this. Goodbye.,1.0,5,False,False,False,3,1,37.2,i want to upgrade to the highest speed plan. thank you for calling. this is [person]. how can i assist you today? i'll need to check on that for you. this is taking too long to resolve. i'm done with this. goodbye.,15.964984,8.901333,0
AGENT_745,1125,2,billing,elderly,"I don't understand these charges on my bill, dear. Thank you for calling. This is Sarah. How can I assist you today? I'll need to check on that for you. That's helpful information, thanks. I have to look this up in our system. This is taking longer than expected. Can you repeat your account number? This is taking too long to resolve. Let me see what I can find here. I'm not happy with how this is progressing. Let me pull up your account... I'm getting frustrated with this process. Let me see what I can find here. I'm getting frustrated with this process. Let me pull up your account... This is taking too long to resolve. I have to look this up in our system. This is taking too long to resolve. I'm done with this. Goodbye.",1.12,19,False,False,True,12,0,59.21,"i don't understand these charges on my bill, dear. thank you for calling. this is [person]. how can i assist you today? i'll need to check on that for you. that's helpful information, thanks. i have to look this up in our system. this is taking longer than expected. can you repeat your account number? this is taking too long to resolve. let me see what i can find here. i'm not happy with how this is progressing. let me pull up your account... i'm getting frustrated with this process. let me see what i can find here. i'm getting frustrated with this process. let me pull up your account... this is taking too long to resolve. i have to look this up in our system. this is taking too long to resolve. i'm done with this. goodbye.",-5.341438,14.501289,1
AGENT_368,723,2,cancellation,elderly,I think I need to cancel some services. I don't use them all. Thank you for calling. This is David. How can I assist you today? Let me see what I can find here. This is taking too long to resolve. Can you repeat your account number? I'm not happy with how this is progressing. Can you repeat your account number? I'm not happy with how this is progressing. Can you repeat your account number? I'm getting frustrated with this process. I have to look this up in our system. I'm getting frustrated with this process. Let me see what I can find here. I'm not happy with how this is progressing. Can you repeat your account number? I'm not happy with how this is progressing.,0.97,16,False,False,False,20,0,45.19,i think i need to cancel some services. i don't use them all. thank you for calling. this is [person]. how can i assist you today? let me see what i can find here. this is taking too long to resolve. can you repeat your account number? i'm not happy with how this is progressing. can you repeat your account number? i'm not happy with how this is progressing. can you repeat your account number? i'm getting frustrated with this process. i have to look this up in our system. i'm getting frustrated with this process. let me see what i can find here. i'm not happy with how this is progressing. can you repeat your account number? i'm not happy with how this is progressing.,2.465474,12.0631275,2
AGENT_720,180,1,upgrade,angry,I want to upgrade but your process is so frustrating! Thank you for calling. This is David. How can I assist you today? I'm still looking into this for you. You people are incompetent! This is ridiculous!,1.18,4,False,True,True,6,0,45.0,i want to upgrade but your process is so frustrating! thank you for calling. this is [person]. how can i assist you today? i'm still looking into this for you. you people are incompetent! this is ridiculous!,15.895872,6.381123,0
AGENT_905,312,2,internet,tech_savvy,I'm seeing significant packet loss and high latency. Check your infrastructure. Thank you for calling. This is Jennifer. How can I assist you today? I'm still looking into this for you. Will this prevent future occurrences? Let me continue checking on this issue. Will this prevent future occurrences? Let me continue checking on this issue. I'm getting concerned about this.,1.31,8,False,False,False,4,0,39.0,i'm seeing significant packet loss and high latency. check your infrastructure. thank you for calling. this is [person]. how can i assist you today? i'm still looking into this for you. will this prevent future occurrences? let me continue checking on this issue. will this prevent future occurrences? let me continue checking on this issue. i'm getting concerned about this.,-2.4078822,0.28889763,3
AGENT_546,877,2,billing,tech_savvy,I've identified billing discrepancies that require correction. Thank you for calling. This is Taylor. How can I assist you today? I'm consulting with our experts to find the best solution. This is taking longer than expected. Let me transfer you to a specialist who can better assist. I hope this gets resolved soon. I need to escalate this to our technical team for review. This is taking longer than expected. I need to escalate this to our technical team for review. This is taking too long to resolve. I need to escalate this to our technical team for review. I'm not happy with how this is progressing. Let me transfer you to a specialist who can better assist. I'm getting frustrated with this process. I'm done with this. Goodbye.,1.53,15,False,False,False,22,0,58.47,i've identified billing discrepancies that require correction. thank you for calling. this is [person]. how can i assist you today? i'm consulting with our experts to find the best solution. this is taking longer than expected. let me transfer you to a specialist who can better assist. i hope this gets resolved soon. i need to escalate this to our technical team for review. this is taking longer than expected. i need to escalate this to our technical team for review. this is taking too long to resolve. i need to escalate this to our technical team for review. i'm not happy with how this is progressing. let me transfer you to a specialist who can better assist. i'm getting frustrated with this process. i'm done with this. goodbye.,-5.3172693,13.161527,1
AGENT_875,187,1,internet,angry,My internet has been down for HOURS! I pay for reliable service! Thank you for calling. This is Jennifer. How can I assist you today? I'll need to check on that for you. This is taking forever! Fix it NOW!,1.11,4,False,True,True,1,0,46.75,my internet has been down for hours! i pay for reliable service! thank you for calling. this is [person]. how can i assist you today? i'll need to check on that for you. this is taking forever! fix it now!,-4.841024,2.1693451,3
AGENT_574,224,1,billing,angry,My bill is completely wrong and I demand you fix it RIGHT NOW! Thank you for calling. This is Sarah. How can I assist you today? I'll need to check on that for you. You people are incompetent! This is ridiculous!,1.05,4,False,True,True,0,1,56.0,my bill is completely wrong and i demand you fix it right now! thank you for calling. this is [person]. how can i assist you today? i'll need to check on that for you. you people are incompetent! this is ridiculous!,-6.7419972,13.319145,1
AGENT_959,462,4,upgrade,angry,"I want to upgrade but your process is so frustrating! Thank you for calling. This is Mike. How can I assist you today? I can process that upgrade for you right away. Okay, thank you for checking on that. I can process that upgrade for you right away. That's helpful information, thanks. I'll move you to our premium plan with enhanced features. That's helpful information, thanks. I'll move you to our premium plan with enhanced features. Okay, thank you for checking on that. I can process that upgrade for you right away. I appreciate you looking into this. I'll move you to our premium plan with enhanced features. Okay, thank you for checking on that.",1.56,14,True,False,False,20,0,33.0,"i want to upgrade but your process is so frustrating! thank you for calling. this is [person]. how can i assist you today? i can process that upgrade for you right away. okay, thank you for checking on that. i can process that upgrade for you right away. that's helpful information, thanks. i'll move you to our premium plan with enhanced features. that's helpful information, thanks. i'll move you to our premium plan with enhanced features. okay, thank you for checking on that. i can process that upgrade for you right away. i appreciate you looking into this. i'll move you to our premium plan with enhanced features. okay, thank you for checking on that.",15.761265,6.9930916,0
AGENT_895,170,2,internet,elderly,The internet isn't working properly. I can't get my emails. Thank you for calling. This is Mike. How can I assist you today? I'm consulting with our experts to find the best solution. This is taking too long to resolve. I'm done with this. Goodbye.,1.05,5,False,False,True,4,0,34.0,the internet isn't working properly. i can't get my emails. thank you for calling. this is [person]. how can i assist you today? i'm consulting with our experts to find the best solution. this is taking too long to resolve. i'm done with this. goodbye.,-3.1509142,2.22355,3
AGENT_932,560,4,upgrade,churn_risk,"I'll consider upgrading if you can fix these issues. Thank you for calling. This is Alex. How can I assist you today? Let me upgrade your service with the latest options. Okay, thank you for checking on that. Let me upgrade your service with the latest options. Okay, thank you for checking on that. Let me upgrade your service with the latest options. Okay, thank you for checking on that. I can process that upgrade for you right away. Okay, thank you for checking on that. I'll move you to our premium plan with enhanced features. That's helpful information, thanks. I can process that upgrade for you right away. I appreciate you looking into this.",1.45,14,True,False,True,11,0,40.0,"i'll consider upgrading if you can fix these issues. thank you for calling. this is [person]. how can i assist you today? let me upgrade your service with the latest options. okay, thank you for checking on that. let me upgrade your service with the latest options. okay, thank you for checking on that. let me upgrade your service with the latest options. okay, thank you for checking on that. i can process that upgrade for you right away. okay, thank you for checking on that. i'll move you to our premium plan with enhanced features. that's helpful information, thanks. i can process that upgrade for you right away. i appreciate you looking into this.",15.168687,7.6498075,0
AGENT_432,428,2,billing,tech_savvy,I've identified billing discrepancies that require correction. Thank you for calling. This is David. How can I assist you today? I have to look this up in our system. This is taking too long to resolve. Let me pull up your account... I'm getting frustrated with this process. Can you repeat your account number? I'm getting frustrated with this process. Let me pull up your account... This is taking too long to resolve. I'm done with this. Goodbye.,1.05,11,False,False,True,23,0,38.91,i've identified billing discrepancies that require correction. thank you for calling. this is [person]. how can i assist you today? i have to look this up in our system. this is taking too long to resolve. let me pull up your account... i'm getting frustrated with this process. can you repeat your account number? i'm getting frustrated with this process. let me pull up your account... this is taking too long to resolve. i'm done with this. goodbye.,-5.269242,13.145221,1
AGENT_501,463,2,billing,tech_savvy,I've identified billing discrepancies that require correction. Thank you for calling. This is Mike. How can I assist you today? Let me see what I can find here. I hope this gets resolved soon. Let me see what I can find here. I'm not happy with how this is progressing. Can you repeat your account number? This is taking too long to resolve. I have to look this up in our system. I'm getting frustrated with this process. I'm done with this. Goodbye.,1.13,11,False,False,True,12,0,42.09,i've identified billing discrepancies that require correction. thank you for calling. this is [person]. how can i assist you today? let me see what i can find here. i hope this gets resolved soon. let me see what i can find here. i'm not happy with how this is progressing. can you repeat your account number? this is taking too long to resolve. i have to look this up in our system. i'm getting frustrated with this process. i'm done with this. goodbye.,-5.1965666,13.203377,1
AGENT_366,190,2,upgrade,elderly,I was told I could upgrade. Can you help me with that? Thank you for calling. This is Mike. How can I assist you today? I need more time to resolve your concern. I'm not happy with how this is progressing. I'm done with this. Goodbye.,0.84,5,False,False,False,3,1,38.0,i was told i could upgrade. can you help me with that? thank you for calling. this is [person]. how can i assist you today? i need more time to resolve your concern. i'm not happy with how this is progressing. i'm done with this. goodbye.,14.724694,6.796362,0
AGENT_993,777,2,device,loyal,I'm having trouble setting up my new device. Can you help? Thank you for calling. This is Alex. How can I assist you today? Can you repeat your account number? This is taking longer than expected. Let me see what I can find here. I'm not happy with how this is progressing. Can you repeat your account number? I'm getting frustrated with this process. I have to look this up in our system. I'm getting frustrated with this process. I have to look this up in our system. I'm not happy with how this is progressing. I'll need to check on that for you. I'm getting frustrated with this process. Can you repeat your account number? I'm getting frustrated with this process. I have to look this up in our system. I'm not happy with how this is progressing.,1.14,18,False,False,True,22,0,43.17,i'm having trouble setting up my new device. can you help? thank you for calling. this is [person]. how can i assist you today? can you repeat your account number? this is taking longer than expected. let me see what i can find here. i'm not happy with how this is progressing. can you repeat your account number? i'm getting frustrated with this process. i have to look this up in our system. i'm getting frustrated with this process. i have to look this up in our system. i'm not happy with how this is progressing. i'll need to check on that for you. i'm getting frustrated with this process. can you repeat your account number? i'm getting frustrated with this process. i have to look this up in our system. i'm not happy with how this is progressing.,1.6703326,1.8305461,4
AGENT_957,397,1,billing,loyal,I noticed some unusual charges on my bill and wanted to check them. Thank you for calling. This is Taylor. How can I assist you today? I'm consulting with our experts to find the best solution. I'm getting concerned about this. I need to escalate this to our technical team for review. I'm not happy with how this is progressing. I need to escalate this to our technical team for review. I'm getting frustrated with this process. I'm done with this. Goodbye.,1.22,9,False,False,True,0,0,44.11,i noticed some unusual charges on my bill and wanted to check them. thank you for calling. this is [person]. how can i assist you today? i'm consulting with our experts to find the best solution. i'm getting concerned about this. i need to escalate this to our technical team for review. i'm not happy with how this is progressing. i need to escalate this to our technical team for review. i'm getting frustrated with this process. i'm done with this. goodbye.,-5.2728233,14.134546,1
AGENT_576,481,2,cancellation,loyal,I need to cancel my service. Circumstances have changed. Thank you for calling. This is Taylor. How can I assist you today? I need to escalate this to our technical team for review. I understand these things happen sometimes. Let me transfer you to a specialist who can better assist. I'm glad you're working on this for me. I need to escalate this to our technical team for review. I understand these things happen sometimes. I need to escalate this to our technical team for review. Thank you for your help. I appreciate it.,1.54,10,False,False,False,20,0,48.1,i need to cancel my service. circumstances have changed. thank you for calling. this is [person]. how can i assist you today? i need to escalate this to our technical team for review. i understand these things happen sometimes. let me transfer you to a specialist who can better assist. i'm glad you're working on this for me. i need to escalate this to our technical team for review. i understand these things happen sometimes. i need to escalate this to our technical team for review. thank you for your help. i appreciate it.,3.0502782,12.736204,2
