agent_id,duration_sec,csat_score,issue_category,customer_persona,clean_text,talk_ratio,turns_count,resolved,escalated,churned,hour_of_day,is_weekend,avg_word_per_turn
AGENT_661,185,2,internet,loyal,My connection has been spotty lately. Any idea what's happening? Thank you for calling. This is David. How can I assist you today? I need to escalate this to our technical team for review. This is taking too long to resolve. I'm done with this. Goodbye.,1.09,5,False,False,False,0,1,37.0
AGENT_540,480,2,device,loyal,I'm having trouble setting up my new device. Can you help? Thank you for calling. This is Taylor. How can I assist you today? I can help you with device setup. What model do you have? Thank you for your help. I appreciate it. I'm still looking into this for you. This is taking longer than expected. Let me walk you through some troubleshooting steps. I hope this gets resolved soon. Let me walk you through some troubleshooting steps. This is taking longer than expected. I can help you with device setup. What model do you have? I'm getting concerned about this.,1.43,12,False,False,False,7,0,40.0
AGENT_927,462,2,upgrade,business,I need to upgrade for business expansion. What's available? Thank you for calling. This is Mike. How can I assist you today? Let me check what upgrade options are available for you. I hope this gets resolved soon. Let me check what upgrade options are available for you. I'm getting concerned about this. I can help you upgrade your service. What features are you looking for? I hope this gets resolved soon. I'm still looking into this for you. I'm getting concerned about this. I can process an upgrade if that's what you're interested in. I'm getting concerned about this. I can process an upgrade if that's what you're interested in. I hope this gets resolved soon.,1.79,14,False,False,True,3,0,33.0
AGENT_604,624,1,billing,churn_risk,This is exactly why I'm cancelling - your billing is a mess! Thank you for calling. This is Alex. How can I assist you today? Can you repeat your account number? I appreciate you looking into this. I have to look this up in our system. I'm getting concerned about this. I'll need to check on that for you. This is taking longer than expected. Let me pull up your account... I'm not happy with how this is progressing.,1.14,10,False,True,True,9,0,62.4
AGENT_726,731,2,device,elderly,I can't figure out how to use this new phone. It's too complicated. Thank you for calling. This is Sarah. How can I assist you today? I need more time to resolve your concern. I'm getting concerned about this. I'm still looking into this for you. I hope this gets resolved soon. Let me continue checking on this issue. This is taking too long to resolve. Let me continue checking on this issue. This is taking too long to resolve. I need more time to resolve your concern. I'm not happy with how this is progressing. I need more time to resolve your concern. I'm getting frustrated with this process. Let me continue checking on this issue. This is taking too long to resolve. I'm done with this. Goodbye.,1.02,17,False,False,True,15,1,43.0
AGENT_203,336,1,device,angry,Your device doesn't work and your instructions are garbage! Thank you for calling. This is Sarah. How can I assist you today? I need more time to resolve your concern. I appreciate you looking into this. I need more time to resolve your concern. Why is this so difficult? Let me continue checking on this issue. This is not acceptable! I'm still looking into this for you. You people are incompetent! This is ridiculous! Let me continue checking on this issue. This is taking forever! Fix it NOW!,1.32,12,False,True,True,16,0,28.0
AGENT_810,492,2,internet,tech_savvy,I'm seeing significant packet loss and high latency. Check your infrastructure. Thank you for calling. This is Sarah. How can I assist you today? I'm still looking into this for you. Can you provide more technical details about the fix? I'm still looking into this for you. Can you provide more technical details about the fix? I need more time to resolve your concern. What's the root cause of this issue? I'm still looking into this for you. I'm getting concerned about this. I need more time to resolve your concern. I'm getting concerned about this.,1.09,12,False,False,True,12,1,41.0
AGENT_328,252,2,internet,elderly,The internet isn't working properly. I can't get my emails. Thank you for calling. This is Sarah. How can I assist you today? I have to look this up in our system. I'm not happy with how this is progressing. I have to look this up in our system. This is taking too long to resolve. I'm done with this. Goodbye.,1.03,7,False,False,True,0,1,36.0
AGENT_823,1200,1,internet,loyal,My connection has been spotty lately. Any idea what's happening? Thank you for calling. This is David. How can I assist you today? I'm still looking into this for you. I'm getting frustrated with this process. Let me continue checking on this issue. I'm not happy with how this is progressing. Let me continue checking on this issue. I'm not happy with how this is progressing. I need more time to resolve your concern. I'm getting frustrated with this process. Let me continue checking on this issue. This is taking too long to resolve. Let me continue checking on this issue. I'm getting frustrated with this process. Let me continue checking on this issue. This is taking too long to resolve. Let me continue checking on this issue. I'm getting frustrated with this process. Let me continue checking on this issue. This is taking too long to resolve. Let me continue checking on this issue. This is taking too long to resolve. I need more time to resolve your concern. I'm getting frustrated with this process. I'm still looking into this for you. This is taking too long to resolve. I'm done with this. Goodbye.,1.03,27,False,False,False,18,0,44.44
AGENT_882,422,2,device,elderly,I can't figure out how to use this new phone. It's too complicated. Thank you for calling. This is Sarah. How can I assist you today? Let me see what I can find here. This is taking longer than expected. Can you repeat your account number? This is taking longer than expected. I have to look this up in our system. I'm getting frustrated with this process.,1.16,8,False,False,True,8,0,52.75
AGENT_540,240,2,upgrade,churn_risk,"I'll consider upgrading if you can fix these issues. Thank you for calling. This is David. How can I assist you today? Let me upgrade your service with the latest options. Okay, thank you for checking on that. I can process that upgrade for you right away. Okay, thank you for checking on that. I'll move you to our premium plan with enhanced features. Okay, thank you for checking on that.",1.37,8,False,False,True,17,0,30.0
AGENT_894,186,2,upgrade,tech_savvy,I want to upgrade to the highest speed plan. Thank you for calling. This is Sarah. How can I assist you today? I'll need to check on that for you. This is taking too long to resolve. I'm done with this. Goodbye.,1.0,5,False,False,False,3,1,37.2
AGENT_745,1125,2,billing,elderly,"I don't understand these charges on my bill, dear. Thank you for calling. This is Sarah. How can I assist you today? I'll need to check on that for you. That's helpful information, thanks. I have to look this up in our system. This is taking longer than expected. Can you repeat your account number? This is taking too long to resolve. Let me see what I can find here. I'm not happy with how this is progressing. Let me pull up your account... I'm getting frustrated with this process. Let me see what I can find here. I'm getting frustrated with this process. Let me pull up your account... This is taking too long to resolve. I have to look this up in our system. This is taking too long to resolve. I'm done with this. Goodbye.",1.12,19,False,False,True,12,0,59.21
AGENT_368,723,2,cancellation,elderly,I think I need to cancel some services. I don't use them all. Thank you for calling. This is David. How can I assist you today? Let me see what I can find here. This is taking too long to resolve. Can you repeat your account number? I'm not happy with how this is progressing. Can you repeat your account number? I'm not happy with how this is progressing. Can you repeat your account number? I'm getting frustrated with this process. I have to look this up in our system. I'm getting frustrated with this process. Let me see what I can find here. I'm not happy with how this is progressing. Can you repeat your account number? I'm not happy with how this is progressing.,0.97,16,False,False,False,20,0,45.19
AGENT_720,180,1,upgrade,angry,I want to upgrade but your process is so frustrating! Thank you for calling. This is David. How can I assist you today? I'm still looking into this for you. You people are incompetent! This is ridiculous!,1.18,4,False,True,True,6,0,45.0
AGENT_905,312,2,internet,tech_savvy,I'm seeing significant packet loss and high latency. Check your infrastructure. Thank you for calling. This is Jennifer. How can I assist you today? I'm still looking into this for you. Will this prevent future occurrences? Let me continue checking on this issue. Will this prevent future occurrences? Let me continue checking on this issue. I'm getting concerned about this.,1.31,8,False,False,False,4,0,39.0
AGENT_546,877,2,billing,tech_savvy,I've identified billing discrepancies that require correction. Thank you for calling. This is Taylor. How can I assist you today? I'm consulting with our experts to find the best solution. This is taking longer than expected. Let me transfer you to a specialist who can better assist. I hope this gets resolved soon. I need to escalate this to our technical team for review. This is taking longer than expected. I need to escalate this to our technical team for review. This is taking too long to resolve. I need to escalate this to our technical team for review. I'm not happy with how this is progressing. Let me transfer you to a specialist who can better assist. I'm getting frustrated with this process. I'm done with this. Goodbye.,1.53,15,False,False,False,22,0,58.47
AGENT_875,187,1,internet,angry,My internet has been down for HOURS! I pay for reliable service! Thank you for calling. This is Jennifer. How can I assist you today? I'll need to check on that for you. This is taking forever! Fix it NOW!,1.11,4,False,True,True,1,0,46.75
AGENT_574,224,1,billing,angry,My bill is completely wrong and I demand you fix it RIGHT NOW! Thank you for calling. This is Sarah. How can I assist you today? I'll need to check on that for you. You people are incompetent! This is ridiculous!,1.05,4,False,True,True,0,1,56.0
AGENT_959,462,4,upgrade,angry,"I want to upgrade but your process is so frustrating! Thank you for calling. This is Mike. How can I assist you today? I can process that upgrade for you right away. Okay, thank you for checking on that. I can process that upgrade for you right away. That's helpful information, thanks. I'll move you to our premium plan with enhanced features. That's helpful information, thanks. I'll move you to our premium plan with enhanced features. Okay, thank you for checking on that. I can process that upgrade for you right away. I appreciate you looking into this. I'll move you to our premium plan with enhanced features. Okay, thank you for checking on that.",1.56,14,True,False,False,20,0,33.0
AGENT_895,170,2,internet,elderly,The internet isn't working properly. I can't get my emails. Thank you for calling. This is Mike. How can I assist you today? I'm consulting with our experts to find the best solution. This is taking too long to resolve. I'm done with this. Goodbye.,1.05,5,False,False,True,4,0,34.0
AGENT_932,560,4,upgrade,churn_risk,"I'll consider upgrading if you can fix these issues. Thank you for calling. This is Alex. How can I assist you today? Let me upgrade your service with the latest options. Okay, thank you for checking on that. Let me upgrade your service with the latest options. Okay, thank you for checking on that. Let me upgrade your service with the latest options. Okay, thank you for checking on that. I can process that upgrade for you right away. Okay, thank you for checking on that. I'll move you to our premium plan with enhanced features. That's helpful information, thanks. I can process that upgrade for you right away. I appreciate you looking into this.",1.45,14,True,False,True,11,0,40.0
AGENT_432,428,2,billing,tech_savvy,I've identified billing discrepancies that require correction. Thank you for calling. This is David. How can I assist you today? I have to look this up in our system. This is taking too long to resolve. Let me pull up your account... I'm getting frustrated with this process. Can you repeat your account number? I'm getting frustrated with this process. Let me pull up your account... This is taking too long to resolve. I'm done with this. Goodbye.,1.05,11,False,False,True,23,0,38.91
AGENT_501,463,2,billing,tech_savvy,I've identified billing discrepancies that require correction. Thank you for calling. This is Mike. How can I assist you today? Let me see what I can find here. I hope this gets resolved soon. Let me see what I can find here. I'm not happy with how this is progressing. Can you repeat your account number? This is taking too long to resolve. I have to look this up in our system. I'm getting frustrated with this process. I'm done with this. Goodbye.,1.13,11,False,False,True,12,0,42.09
AGENT_366,190,2,upgrade,elderly,I was told I could upgrade. Can you help me with that? Thank you for calling. This is Mike. How can I assist you today? I need more time to resolve your concern. I'm not happy with how this is progressing. I'm done with this. Goodbye.,0.84,5,False,False,False,3,1,38.0
AGENT_993,777,2,device,loyal,I'm having trouble setting up my new device. Can you help? Thank you for calling. This is Alex. How can I assist you today? Can you repeat your account number? This is taking longer than expected. Let me see what I can find here. I'm not happy with how this is progressing. Can you repeat your account number? I'm getting frustrated with this process. I have to look this up in our system. I'm getting frustrated with this process. I have to look this up in our system. I'm not happy with how this is progressing. I'll need to check on that for you. I'm getting frustrated with this process. Can you repeat your account number? I'm getting frustrated with this process. I have to look this up in our system. I'm not happy with how this is progressing.,1.14,18,False,False,True,22,0,43.17
AGENT_957,397,1,billing,loyal,I noticed some unusual charges on my bill and wanted to check them. Thank you for calling. This is Taylor. How can I assist you today? I'm consulting with our experts to find the best solution. I'm getting concerned about this. I need to escalate this to our technical team for review. I'm not happy with how this is progressing. I need to escalate this to our technical team for review. I'm getting frustrated with this process. I'm done with this. Goodbye.,1.22,9,False,False,True,0,0,44.11
AGENT_576,481,2,cancellation,loyal,I need to cancel my service. Circumstances have changed. Thank you for calling. This is Taylor. How can I assist you today? I need to escalate this to our technical team for review. I understand these things happen sometimes. Let me transfer you to a specialist who can better assist. I'm glad you're working on this for me. I need to escalate this to our technical team for review. I understand these things happen sometimes. I need to escalate this to our technical team for review. Thank you for your help. I appreciate it.,1.54,10,False,False,False,20,0,48.1
AGENT_609,474,2,cancellation,angry,I'm cancelling IMMEDIATELY! Your service is absolutely terrible! Thank you for calling. This is David. How can I assist you today? I'll need to check on that for you. This is taking forever! Fix it NOW! I have to look this up in our system. I don't have time for this! Just solve the problem! Can you repeat your account number? This is taking forever! Fix it NOW!,1.12,8,False,True,True,0,0,59.25
AGENT_710,642,2,cancellation,loyal,I need to cancel my service. Circumstances have changed. Thank you for calling. This is Alex. How can I assist you today? I need more time to resolve your concern. I'm glad you're working on this for me. Let me continue checking on this issue. I'm getting concerned about this. I need more time to resolve your concern. I'm getting concerned about this. I need more time to resolve your concern. This is taking longer than expected. I need more time to resolve your concern. I'm not happy with how this is progressing. I need more time to resolve your concern. This is taking too long to resolve. Let me continue checking on this issue. This is taking too long to resolve. I need more time to resolve your concern. This is taking too long to resolve. I'm done with this. Goodbye.,1.12,19,False,False,False,22,1,33.79
AGENT_644,162,1,internet,churn_risk,This is why I'm leaving - your service is unreliable! Thank you for calling. This is David. How can I assist you today? I'm still looking into this for you. This is taking too long to resolve. Let me continue checking on this issue. I'm getting frustrated with this process.,1.17,6,False,True,True,14,1,27.0
AGENT_592,450,1,device,business,New device isn't working properly. Need it fixed for tomorrow's presentation. Thank you for calling. This is Mike. How can I assist you today? I'm still looking into this for you. I'm getting concerned about this. I'm still looking into this for you. This is taking longer than expected. I need more time to resolve your concern. I hope this gets resolved soon. Let me continue checking on this issue. I need this resolved immediately. This affects my business.,1.14,10,False,True,True,20,0,45.0
AGENT_967,361,2,billing,churn_risk,This is exactly why I'm cancelling - your billing is a mess! Thank you for calling. This is Mike. How can I assist you today? I'll need to check on that for you. I hope this gets resolved soon. I have to look this up in our system. This is taking too long to resolve. Can you repeat your account number? I'm not happy with how this is progressing.,1.09,8,False,True,True,5,0,45.12
AGENT_525,174,2,internet,loyal,My connection has been spotty lately. Any idea what's happening? Thank you for calling. This is Jennifer. How can I assist you today? Can you repeat your account number? I'm not happy with how this is progressing. I'm done with this. Goodbye.,0.83,5,False,False,False,21,1,34.8
AGENT_503,480,2,device,angry,"Your device doesn't work and your instructions are garbage! Thank you for calling. This is Alex. How can I assist you today? Let me see what I can find here. That's helpful information, thanks. Let me see what I can find here. I'm losing patience here! Let me pull up your account... I don't have time for this! Just solve the problem! I'll need to check on that for you. You people are incompetent! This is ridiculous!",1.26,10,False,False,True,0,1,48.0
AGENT_232,561,1,upgrade,churn_risk,"I'll consider upgrading if you can fix these issues. Thank you for calling. This is Alex. How can I assist you today? Can you repeat your account number? That's helpful information, thanks. I have to look this up in our system. I hope this gets resolved soon. Can you repeat your account number? This is taking longer than expected. I'll need to check on that for you. This is taking too long to resolve. Can you repeat your account number? This is taking too long to resolve.",1.23,12,False,True,True,14,0,46.75
AGENT_995,168,2,internet,tech_savvy,I'm seeing significant packet loss and high latency. Check your infrastructure. Thank you for calling. This is Jennifer. How can I assist you today? I'll need to check on that for you. I'm not happy with how this is progressing. I'm done with this. Goodbye.,0.88,5,False,False,True,3,0,33.6
AGENT_799,364,4,device,loyal,I'm having trouble setting up my new device. Can you help? Thank you for calling. This is Taylor. How can I assist you today? I can send a technician if we can't resolve this remotely. I'm glad you're working on this for me. I see the configuration issue. Let me help you fix it. I'm glad you're working on this for me. I see the configuration issue. Let me help you fix it. I understand these things happen sometimes. I can send a technician if we can't resolve this remotely. I understand these things happen sometimes. Let me guide you through the proper setup steps for your device. I'm glad you're working on this for me. I see the configuration issue. Let me help you fix it. I understand these things happen sometimes.,1.51,14,True,False,False,0,0,26.0
AGENT_619,560,1,internet,churn_risk,This is why I'm leaving - your service is unreliable! Thank you for calling. This is Jennifer. How can I assist you today? Let me continue checking on this issue. This is taking longer than expected. I'm still looking into this for you. I'm getting frustrated with this process. I can see your connection history and recent issues. This is taking too long to resolve. I can see your connection history and recent issues. This is taking too long to resolve. I'm reviewing your service status to identify the problem. This is taking too long to resolve. I'm reviewing your service status to identify the problem. I'm not happy with how this is progressing. I can see your connection history and recent issues. I'm getting frustrated with this process. Let me check the status in your area regarding service. This is taking too long to resolve. Let me continue checking on this issue. I'm not happy with how this is progressing.,1.24,20,False,True,True,1,0,28.0
AGENT_328,216,1,device,angry,Your device doesn't work and your instructions are garbage! Thank you for calling. This is Taylor. How can I assist you today? I need more time to resolve your concern. This is taking forever! Fix it NOW! I'm still looking into this for you. I don't have time for this! Just solve the problem!,1.08,6,False,True,True,15,0,36.0
AGENT_194,792,2,internet,churn_risk,"This is why I'm leaving - your service is unreliable! Thank you for calling. This is Sarah. How can I assist you today? Let me transfer you to a specialist who can better assist. I appreciate you looking into this. I need to escalate this to our technical team for review. That's helpful information, thanks. I'm consulting with our experts to find the best solution. I hope this gets resolved soon. I'm consulting with our experts to find the best solution. I'm getting concerned about this. Let me transfer you to a specialist who can better assist. I'm getting concerned about this. I'm consulting with our experts to find the best solution. I'm getting concerned about this. Let me transfer you to a specialist who can better assist. I'm not happy with how this is progressing. I'm consulting with our experts to find the best solution. I'm getting frustrated with this process.",1.76,18,False,False,True,0,0,44.0
AGENT_582,224,2,upgrade,churn_risk,"I'll consider upgrading if you can fix these issues. Thank you for calling. This is Mike. How can I assist you today? Let me continue checking on this issue. I appreciate you looking into this. I can help you upgrade your service. What features are you looking for? I appreciate you looking into this. Let me check what upgrade options are available for you. Okay, thank you for checking on that.",1.54,8,False,False,True,0,0,28.0
AGENT_366,480,2,cancellation,elderly,I think I need to cancel some services. I don't use them all. Thank you for calling. This is Sarah. How can I assist you today? Can you repeat your account number? I'm getting concerned about this. Can you repeat your account number? This is taking too long to resolve. I'm done with this. Goodbye.,0.83,7,False,False,True,23,1,68.57
AGENT_679,315,2,device,elderly,I can't figure out how to use this new phone. It's too complicated. Thank you for calling. This is Taylor. How can I assist you today? I need more time to resolve your concern. I'm not happy with how this is progressing. I can help you with device setup. What model do you have? I'm not happy with how this is progressing. I'm done with this. Goodbye.,0.97,7,False,False,True,4,1,45.0
AGENT_419,859,2,billing,loyal,I noticed some unusual charges on my bill and wanted to check them. Thank you for calling. This is Jennifer. How can I assist you today? Let me see what I can find here. Thank you for your help. I appreciate it. Let me pull up your account... This is taking longer than expected. Can you repeat your account number? I'm getting frustrated with this process. Let me see what I can find here. I'm getting frustrated with this process. Let me see what I can find here. I'm not happy with how this is progressing. I have to look this up in our system. This is taking too long to resolve. Let me see what I can find here. This is taking too long to resolve. Can you repeat your account number? I'm not happy with how this is progressing. I'm done with this. Goodbye.,0.97,19,False,False,False,5,0,45.21
AGENT_141,782,2,upgrade,loyal,I'd like to upgrade my plan. What options do you have? Thank you for calling. This is Mike. How can I assist you today? I need to escalate this to our technical team for review. I'm glad you're working on this for me. I need to escalate this to our technical team for review. I'm glad you're working on this for me. Let me transfer you to a specialist who can better assist. Thank you for your help. I appreciate it. I'm consulting with our experts to find the best solution. I hope this gets resolved soon. I need to escalate this to our technical team for review. I hope this gets resolved soon. I'm consulting with our experts to find the best solution. I'm getting concerned about this. I'm consulting with our experts to find the best solution. This is taking longer than expected. Let me transfer you to a specialist who can better assist. I'm getting frustrated with this process. I need to escalate this to our technical team for review. This is taking too long to resolve. I need to escalate this to our technical team for review. I'm not happy with how this is progressing. I'm done with this. Goodbye.,1.43,23,False,False,False,6,1,34.0
AGENT_450,655,1,billing,business,"There are unauthorized charges on my corporate account that need immediate attention. Thank you for calling. This is David. How can I assist you today? Let me transfer you to a specialist who can better assist. That's helpful information, thanks. I'm consulting with our experts to find the best solution. This is taking longer than expected. I'm consulting with our experts to find the best solution. This is taking longer than expected. Let me transfer you to a specialist who can better assist. I'm getting concerned about this. I need to escalate this to our technical team for review. This is wasting my time. I have deadlines to meet. Let me transfer you to a specialist who can better assist. I need this resolved immediately. This affects my business.",1.48,14,False,True,True,6,0,46.79
AGENT_809,302,2,device,tech_savvy,I'm experiencing firmware configuration issues. Thank you for calling. This is David. How can I assist you today? I need more time to resolve your concern. I'm getting frustrated with this process. I need more time to resolve your concern. I'm getting frustrated with this process. I'm done with this. Goodbye.,1.32,7,False,False,True,21,1,43.14
AGENT_276,504,4,upgrade,business,"I need to upgrade for business expansion. What's available? Thank you for calling. This is David. How can I assist you today? I'll move you to our premium plan with enhanced features. Okay, thank you for checking on that. Let me upgrade your service with the latest options. Okay, thank you for checking on that. Let me upgrade your service with the latest options. Okay, thank you for checking on that. Let me upgrade your service with the latest options. Okay, thank you for checking on that. Let me upgrade your service with the latest options. Okay, thank you for checking on that. I'll move you to our premium plan with enhanced features. That's helpful information, thanks.",1.44,14,True,False,True,3,1,36.0
AGENT_696,533,2,internet,elderly,The internet isn't working properly. I can't get my emails. Thank you for calling. This is Mike. How can I assist you today? Let me transfer you to a specialist who can better assist. I'm getting concerned about this. I need to escalate this to our technical team for review. This is taking longer than expected. I'm consulting with our experts to find the best solution. This is taking too long to resolve. Let me transfer you to a specialist who can better assist. I'm getting frustrated with this process. I'm consulting with our experts to find the best solution. This is taking too long to resolve. I'm done with this. Goodbye.,1.43,13,False,False,True,13,0,41.0
AGENT_600,616,1,cancellation,angry,"I'm cancelling IMMEDIATELY! Your service is absolutely terrible! Thank you for calling. This is David. How can I assist you today? Before you cancel, let me see what options we have. I'm losing patience here! I'd like to understand your concerns before you make that decision. This is not acceptable! I understand you're considering cancellation. Can you tell me more? This is not acceptable! I need more time to resolve your concern. This is taking forever! Fix it NOW! Before you cancel, let me see what options we have. I don't have time for this! Just solve the problem!",1.68,12,False,False,True,8,0,51.33
AGENT_875,1200,2,billing,loyal,I noticed some unusual charges on my bill and wanted to check them. Thank you for calling. This is David. How can I assist you today? I need more time to resolve your concern. I'm glad you're working on this for me. I need more time to resolve your concern. I understand these things happen sometimes. I'm still looking into this for you. Thank you for your help. I appreciate it. I'm still looking into this for you. I'm getting concerned about this. Let me continue checking on this issue. I hope this gets resolved soon. Let me continue checking on this issue. This is taking too long to resolve. I'm still looking into this for you. I'm getting frustrated with this process. Let me continue checking on this issue. I'm not happy with how this is progressing. Let me continue checking on this issue. I'm getting frustrated with this process. I'm still looking into this for you. This is taking too long to resolve. Let me continue checking on this issue. I'm getting frustrated with this process.,1.07,24,False,False,False,20,0,50.0
AGENT_437,248,2,device,angry,Your device doesn't work and your instructions are garbage! Thank you for calling. This is Alex. How can I assist you today? I need more time to resolve your concern. This is not acceptable! I need more time to resolve your concern. This is not acceptable! Let me continue checking on this issue. I don't have time for this! Just solve the problem!,1.33,8,False,True,True,16,1,31.0
AGENT_869,512,2,upgrade,business,I need to upgrade for business expansion. What's available? Thank you for calling. This is Mike. How can I assist you today? Let me continue checking on this issue. I need this resolved immediately. This affects my business. I can process an upgrade if that's what you're interested in. I expect better service from a professional provider. Let me check what upgrade options are available for you. This is wasting my time. I have deadlines to meet. I can process an upgrade if that's what you're interested in. I expect better service from a professional provider. Let me check what upgrade options are available for you. This is wasting my time. I have deadlines to meet. Let me continue checking on this issue. This is wasting my time. I have deadlines to meet. I can process an upgrade if that's what you're interested in. This is wasting my time. I have deadlines to meet.,1.08,16,False,False,True,9,0,32.0
AGENT_745,356,1,upgrade,elderly,I was told I could upgrade. Can you help me with that? Thank you for calling. This is Jennifer. How can I assist you today? I need more time to resolve your concern. I'm getting frustrated with this process. I'm still looking into this for you. I'm not happy with how this is progressing. I can help you upgrade your service. What features are you looking for? I'm not happy with how this is progressing. I'm done with this. Goodbye.,1.05,9,False,False,True,1,0,39.56
AGENT_134,560,4,upgrade,business,"I need to upgrade for business expansion. What's available? Thank you for calling. This is Taylor. How can I assist you today? I can process that upgrade for you right away. Okay, thank you for checking on that. I'll move you to our premium plan with enhanced features. Okay, thank you for checking on that. I'll move you to our premium plan with enhanced features. That's helpful information, thanks. I can process that upgrade for you right away. Okay, thank you for checking on that. I'll move you to our premium plan with enhanced features. I appreciate you looking into this. I can process that upgrade for you right away. I appreciate you looking into this.",1.52,14,True,False,False,6,0,40.0
AGENT_157,540,2,upgrade,tech_savvy,I want to upgrade to the highest speed plan. Thank you for calling. This is Jennifer. How can I assist you today? I'll need to check on that for you. I hope this gets resolved soon. Can you repeat your account number? I'm getting frustrated with this process. Can you repeat your account number? I'm not happy with how this is progressing. Can you repeat your account number? This is taking too long to resolve.,1.08,10,False,False,False,5,0,54.0
AGENT_248,393,2,internet,churn_risk,This is why I'm leaving - your service is unreliable! Thank you for calling. This is Sarah. How can I assist you today? Let me see what I can find here. This is taking longer than expected. I have to look this up in our system. I'm getting frustrated with this process. Let me pull up your account... I'm getting frustrated with this process.,1.29,8,False,True,True,7,1,49.12
